source,year,file_path,sheet_name,header_row_zero_based,rows_after_cleaning,unique_localities,numeric_features_kept,duplicate_locality_rows_collapsed
demographic,2019,/content/Election_Bloc_Prediction_Project/data/raw/Demographic_data/Demographic_2019.xlsx,גיליון1,0,193,193,59,0
demographic,2020,/content/Election_Bloc_Prediction_Project/data/raw/Demographic_data/Demographic_2020.xlsx,גיליון1,0,201,201,65,0
demographic,2021,/content/Election_Bloc_Prediction_Project/data/raw/Demographic_data/Demographic_2021.xlsx,גיליון1,0,201,201,65,0
demographic,2022,/content/Election_Bloc_Prediction_Project/data/raw/Demographic_data/Demographic_2022.xlsx,גיליון1,0,202,202,58,0
demographic,2023,/content/Election_Bloc_Prediction_Project/data/raw/Demographic_data/Demographic_2023.xlsx,גיליון1,0,193,193,59,0
education,2019,/content/Election_Bloc_Prediction_Project/data/raw/Education_data/Education_2019.xlsx,גיליון1,0,201,201,39,0
education,2020,/content/Election_Bloc_Prediction_Project/data/raw/Education_data/Education_2020.xlsx,גיליון1,0,201,201,39,0
education,2021,/content/Election_Bloc_Prediction_Project/data/raw/Education_data/Education_2021.xlsx,גיליון1,0,201,201,39,0
education,2022,/content/Election_Bloc_Prediction_Project/data/raw/Education_data/Education_2022.xlsx,גיליון1,0,202,202,39,0
education,2023,/content/Election_Bloc_Prediction_Project/data/raw/Education_data/Education_2023.xlsx,גיליון1,0,193,193,39,0
income,2019,/content/Election_Bloc_Prediction_Project/data/raw/Average_income/ICBS_2019.xlsx,גיליון1,0,224,224,13,0
income,2020,/content/Election_Bloc_Prediction_Project/data/raw/Average_income/ICBS_2020.xlsx,גיליון1,0,197,197,3,0
income,2021,/content/Election_Bloc_Prediction_Project/data/raw/Average_income/ICBS_2021.xlsx,גיליון1,0,224,224,13,0
income,2022,/content/Election_Bloc_Prediction_Project/data/raw/Average_income/ICBS_2022.xlsx,גיליון1,0,226,226,13,0
income,2023,/content/Election_Bloc_Prediction_Project/data/raw/Average_income/ICBS_2023.xlsx,גיליון1,0,200,200,13,0
welfare,2019,/content/Election_Bloc_Prediction_Project/data/raw/Unemployment_data/Unemployment_2019.xlsx,גיליון1,0,224,224,30,0
welfare,2020,/content/Election_Bloc_Prediction_Project/data/raw/Unemployment_data/Unemployment_2020.xlsx,גיליון1,0,224,224,30,0
welfare,2021,/content/Election_Bloc_Prediction_Project/data/raw/Unemployment_data/Unemployment_2021.xlsx,גיליון1,0,224,224,30,0
welfare,2022,/content/Election_Bloc_Prediction_Project/data/raw/Unemployment_data/Unemployment_2022.xlsx,גיליון1,0,225,225,29,0
welfare,2023,/content/Election_Bloc_Prediction_Project/data/raw/Unemployment_data/Unemployment_2023.xlsx,גיליון1,0,226,226,29,0
