model,analysis_group,rows,mae,median_row_mae,weighted_mae,macro_r2,maximum_prediction_sum_error
Previous-election persistence,Arab/Non-Jewish,81,4.79879252950748,3.4649069942463973,3.56842923354969,0.782005547520167,2.842170943040401e-14
Ridge — history only,Arab/Non-Jewish,81,5.730237640299991,3.8528565840997393,4.2369711834936234,0.7420148045905782,1.4210854715202004e-14
Ridge — history + levels + change,Arab/Non-Jewish,81,5.8887537391284335,3.7476964177445686,4.342140030228611,0.7071291280826489,2.842170943040401e-14
Global historical CLR swing,Arab/Non-Jewish,81,5.908201435001983,4.1007987599205515,4.571113696533279,0.7505922806496209,2.842170943040401e-14
Ridge — socioeconomic only,Arab/Non-Jewish,81,6.305182479360432,4.1515409838746296,4.77104458800122,0.6996460707073954,2.842170943040401e-14
Extra Trees — history + levels + change,Arab/Non-Jewish,81,6.319626229319077,4.185332534919871,4.870772638803542,0.7130549832803545,2.842170943040401e-14
Ridge — history + levels,Arab/Non-Jewish,81,6.587342531340777,4.212548487248295,5.0120397565404415,0.681148015817958,1.4210854715202004e-14
Locality-type historical CLR swing,Arab/Non-Jewish,81,6.6362230387040375,4.362265804024653,5.180998110680597,0.701761815713033,2.842170943040401e-14
Ridge — history + levels,Non-Arab,143,1.6691624774478908,1.3880216052069763,1.4825519893905998,0.8886075167995471,2.842170943040401e-14
Previous-election persistence,Non-Arab,143,2.3803037111913166,2.284845293735269,2.2147898679048574,0.9416354529427413,2.842170943040401e-14
Ridge — history only,Non-Arab,143,3.0246877492334923,3.004218592877864,3.0339714596694174,0.7867534962657103,2.842170943040401e-14
Global historical CLR swing,Non-Arab,143,3.062597294130285,2.8128913590234745,3.1901701955555395,0.6491538790513292,2.842170943040401e-14
Locality-type historical CLR swing,Non-Arab,143,3.478228003289059,3.421941175062175,3.52135914228413,0.7433805961389808,2.842170943040401e-14
Extra Trees — history + levels + change,Non-Arab,143,3.687437243754981,3.6138691782496464,3.5942168474624068,0.8204721509043273,2.842170943040401e-14
Ridge — history + levels + change,Non-Arab,143,4.035369851534875,4.114546560292293,4.464873583273393,0.8647281228812898,2.842170943040401e-14
Ridge — socioeconomic only,Non-Arab,143,4.261798064814283,4.193061796552318,4.725731706614157,0.7498197979597425,2.842170943040401e-14
