year,standardized_feature,matched_raw_column
2019,avg_monthly_wage_total,"income__שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים"
2019,avg_monthly_wage_men,"income__שכר ממוצע לחודש של שכירים (ש""ח) גברים"
2019,avg_monthly_wage_women,"income__שכר ממוצע לחודש של שכירים (ש""ח) נשים"
2019,pct_below_minimum_wage_direct,income__אחוז השכירים המשתכרים עד שכר מינימום
2019,below_minimum_wage_count,
2019,income_earner_count,income__מספר השכירים
2019,gini_wage,"income__מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא"
2020,avg_monthly_wage_total,"income__שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים"
2020,avg_monthly_wage_men,"income__שכר ממוצע לחודש של שכירים (ש""ח) גברים"
2020,avg_monthly_wage_women,"income__שכר ממוצע לחודש של שכירים (ש""ח) נשים"
2020,pct_below_minimum_wage_direct,
2020,below_minimum_wage_count,
2020,income_earner_count,
2020,gini_wage,
2021,avg_monthly_wage_total,income__כלל בעלי הכנסה שכר ממוצע
2021,avg_monthly_wage_men,income__גברים שכר ממוצע
2021,avg_monthly_wage_women,income__נשים שכר ממוצע
2021,pct_below_minimum_wage_direct,
2021,below_minimum_wage_count,income__שכירים השתכרים מתחת לשכר המינימום מספר
2021,income_earner_count,income__בעלי הכנסה משכר מספר
2021,gini_wage,
2022,avg_monthly_wage_total,income__כלל בעלי הכנסה שכר ממוצע
2022,avg_monthly_wage_men,income__גברים שכר ממוצע
2022,avg_monthly_wage_women,income__נשים שכר ממוצע
2022,pct_below_minimum_wage_direct,
2022,below_minimum_wage_count,income__שכירים השתכרים מתחת לשכר המינימום מספר
2022,income_earner_count,income__בעלי הכנסה משכר מספר
2022,gini_wage,
2023,avg_monthly_wage_total,income__כלל בעלי הכנסה שכר ממוצע
2023,avg_monthly_wage_men,income__גברים שכר ממוצע
2023,avg_monthly_wage_women,income__נשים שכר ממוצע
2023,pct_below_minimum_wage_direct,
2023,below_minimum_wage_count,income__שכירים השתכרים מתחת לשכר המינימום מספר
2023,income_earner_count,income__בעלי הכנסה משכר מספר
2023,gini_wage,
