transition_id,transition_order,model,rows,overall_mae,weighted_mae,median_row_mae,p90_row_mae,maximum_row_error,Right_mae,Center_Left_mae,Haredi_mae,Arab_mae,persistence_mae,improvement_over_persistence_pct
K19_to_K20,3.0,Persistence,1183.0,4.826111484379194,4.086890158434607,3.522360245344293,10.341156118651183,60.474716202270386,7.915099473829864,4.731365221921791,5.058676908860608,1.5993043329045118,4.826111484379194,0.0
K19_to_K20,3.0,Expanding median CLR shift,1183.0,4.868484288159617,4.6338877577721265,3.2473755257399723,10.598693695106329,61.4732198077663,7.371331406453252,3.9217537037701304,6.582007276250902,1.598844766164178,4.826111484379194,-0.8779905710336815
K19_to_K20,3.0,Expanding mean CLR shift,1183.0,7.645058967250924,8.808045207768393,5.802004604266028,16.53140054515535,66.7925704762064,13.06812232104498,4.362640595438814,11.31359385216028,1.8358791003596207,4.826111484379194,-58.41032665730774
K19_to_K20,3.0,Locality historical mean CLR shift,1183.0,12.89622956279234,6.020061062023457,8.586534629183861,33.05533641125806,99.96540598671338,13.131910318033123,15.446888907843771,14.479020355462147,8.527098669830329,4.826111484379194,-167.2178130267798
K19_to_K20,3.0,Last-transition mean CLR shift,1183.0,14.800091436751543,19.452350395687294,12.552741842324584,28.426895018185263,85.69493063675733,15.301604239906759,12.87914220858801,28.02631295441456,2.99330634409684,4.826111484379194,-206.66700271337294
K20_to_K21,4.0,Expanding mean CLR shift,1193.0,2.963627941527183,2.2437678690643135,1.8804063277885568,6.188751590618577,59.29567634131345,4.000859692286441,4.444177741791027,1.4590331844840339,1.9504411475472316,3.1096101933845683,4.694551496131254
K20_to_K21,4.0,Persistence,1193.0,3.1096101933845683,2.189704063458603,2.0427579065452823,6.136314059811335,59.16666666666666,4.168211628821944,4.82875180533175,1.4933338452746538,1.9481434941099252,3.1096101933845683,0.0
K20_to_K21,4.0,Expanding median CLR shift,1193.0,4.340269812453868,4.28022755216961,3.5048851433959887,7.865335635800634,62.85235248476707,6.7269050504850885,7.132129949837758,1.5425603506174959,1.9594838988751324,3.1096101933845683,-39.576009291692685
K20_to_K21,4.0,Locality historical mean CLR shift,1193.0,5.223106895367181,2.325205965232416,2.8305961142668012,12.655170946849141,99.99548384626358,5.49950634384603,7.828743781216167,3.517152596449554,4.0470248599569745,3.1096101933845683,-67.96661222936874
K20_to_K21,4.0,Last-transition mean CLR shift,1193.0,6.277742054078898,8.91149559258703,5.130556755469542,11.856907312042964,74.88795104834296,10.767713604407032,7.654644752350267,4.174729579864845,2.5138802796934483,3.1096101933845683,-101.88196152155216
K21_to_K22,5.0,Last-transition mean CLR shift,1212.0,2.6590198459476992,2.7058200824266936,1.6490723982811755,5.619812822182503,64.27254441835896,2.878177328057749,3.650023828080375,2.349974103977447,1.757904123675226,3.060649656381016,13.122371245463397
K21_to_K22,5.0,Expanding mean CLR shift,1212.0,2.795109623795456,3.0895297970720614,1.8205957736806917,5.717070444989234,62.30530313425261,3.978890543481394,3.27281417801854,2.298447898734112,1.6302858749477769,3.060649656381016,8.67593688914859
K21_to_K22,5.0,Persistence,1212.0,3.060649656381016,3.387945656200318,2.225334516467525,5.8136988194751025,62.60869565217391,4.6857078928830225,4.000129500685068,1.9517819053410048,1.6049793266149668,3.060649656381016,0.0
K21_to_K22,5.0,Expanding median CLR shift,1212.0,3.441124103432916,4.054918447365962,2.624139977236217,6.523708438393296,60.943944211799696,5.456530792877813,4.364778072279308,2.29150468495423,1.6516828636203131,3.060649656381016,-12.431166247945603
K21_to_K22,5.0,Locality historical mean CLR shift,1212.0,4.455680755789047,3.2263666759112897,2.84958428020025,8.743962680266403,99.17161827172852,5.655481163161895,5.8204933059037876,3.4668751418420256,2.8798734122484797,3.060649656381016,-45.57957479712164
K22_to_K23,6.0,Persistence,1213.0,2.1593751997991872,1.9849089232080788,1.6837280366692116,4.105917262874525,39.10308741747254,2.791765693750393,3.57238952261177,0.9847834503859826,1.288562132448603,2.1593751997991872,0.0
K22_to_K23,6.0,Expanding median CLR shift,1213.0,2.492140928259603,2.4830553521019483,2.083387447437315,4.585546727153976,39.171745059250476,3.47820142076571,4.247699141882073,0.9525824221101401,1.2900807282804891,2.1593751997991872,-15.410278329183438
K22_to_K23,6.0,Expanding mean CLR shift,1213.0,2.8406729400675634,2.9964856202427246,2.514110705547806,5.188694182037507,37.00757717879054,4.29048518151334,4.979059695622577,0.9372982983773402,1.1558485847569981,2.1593751997991872,-31.550688381145342
K22_to_K23,6.0,Locality historical mean CLR shift,1213.0,3.819348403171775,2.7519361902513997,2.446383167973868,6.310303647299134,99.99157810646284,4.98978940986481,5.490526519672398,2.5944468886551872,2.202630794494704,2.1593751997991872,-76.87284745730885
K22_to_K23,6.0,Last-transition mean CLR shift,1213.0,5.639763906159086,7.375066478803309,4.704176670921884,11.657711022079459,39.53730794759704,10.52192954785659,5.09767565648122,6.172821406794888,0.766629013503641,2.1593751997991872,-161.17572836270233
K23_to_K24,7.0,Expanding median CLR shift,1211.0,3.0467729289075565,2.41169211254765,2.382405904378775,5.557180944286316,56.338649481828554,5.486993323972628,3.691942531574453,1.6421550084837473,1.3660008515993964,3.083027707491543,1.1759472188942717
K23_to_K24,7.0,Persistence,1211.0,3.083027707491543,2.4128064201329247,2.4311276994751907,5.514705882352942,55.530240265120135,5.5774985254487826,3.9567968077788795,1.5319570804846063,1.2658584162539035,3.083027707491543,0.0
K23_to_K24,7.0,Last-transition mean CLR shift,1211.0,3.6873242088044904,4.368892134995871,2.493798916780751,7.392072315640959,63.33728582481902,4.559558867744354,3.605548129576316,2.066389090302409,4.517800747594881,3.083027707491543,-19.600748311296353
K23_to_K24,7.0,Expanding mean CLR shift,1211.0,3.7874928733818916,3.481825943640159,3.2069135380931977,6.548497409399446,58.09106887273327,6.9359995315946925,4.727558173569151,1.778040253815446,1.7083735345482765,3.083027707491543,-22.849783807604034
K23_to_K24,7.0,Locality historical mean CLR shift,1211.0,4.5257193382895045,3.0177324170610182,3.151465860969923,7.882707432584388,97.15062814949621,7.305538853798801,5.173280375392376,2.665237786857483,2.958820337109357,3.083027707491543,-46.79463720978961
