model,previous_size_band,rows,overall_mae,weighted_mae,median_row_mae,p90_row_mae,maximum_row_error,Right_mae,Center_Left_mae,Haredi_mae,Arab_mae
Persistence,"2,001–10,000",519.0,3.9207206098591345,3.7163285328215987,2.736006229958006,8.033236947953215,43.99881805353428,4.335149085516692,5.182054349551994,2.2309933819669676,3.934685622400884
Expanding median CLR shift,"2,001–10,000",519.0,4.244577737600548,4.044364334920001,3.027354480200865,8.203122660813222,48.09109493988619,4.916638280665111,5.49230052896076,2.620750845356377,3.948621295419942
Locality historical mean CLR shift,"2,001–10,000",519.0,4.404157962423108,4.17025634914288,2.9983483237092106,9.211366973530172,53.27821742837331,5.053245728295434,5.637480012294609,2.57516840031067,4.350737708791719
Expanding mean CLR shift,"2,001–10,000",519.0,4.529740375293166,4.387974126292907,3.1575777363169877,10.7153474756548,47.640119904127275,5.533317621824921,5.103149805338413,3.4829836321976617,3.9995104418116685
Last-transition mean CLR shift,"2,001–10,000",519.0,7.723954106812825,7.947829415289132,5.038737702417988,18.82087382408902,71.63028341777175,8.145550684683707,7.476374947550699,8.887301358587933,6.386589436428961
Persistence,"501–2,000",1409.0,2.906657124082962,3.140200008806899,1.9681039219080472,6.125108584984251,50.05951689699222,4.233614796544904,3.7021415159054385,1.8978051115493537,1.7930670723321531
Expanding median CLR shift,"501–2,000",1409.0,3.2734230664360173,3.4961241531319143,2.351472921362082,6.427665895731491,50.086542757502095,4.906257417219463,4.169947875795605,2.200601385107915,1.816885587621084
Expanding mean CLR shift,"501–2,000",1409.0,3.452696102763896,3.6651418116598835,2.3684294192016493,7.156643054429055,64.81005563064382,5.317567236675164,3.8135172023282657,2.8488848270997917,1.8308151449523615
Locality historical mean CLR shift,"501–2,000",1409.0,4.475762715624283,4.5927935664293456,2.6701874291851944,10.45510103512891,96.87847316862418,5.5886674174692965,5.755383271844403,3.2538150667086407,3.3051851064747932
Last-transition mean CLR shift,"501–2,000",1409.0,5.673635938865679,6.121571759355383,3.3826968549410097,13.63825356578166,81.02418678516557,7.264468461977911,5.648287005323525,7.002912821844785,2.778875466316494
Persistence,<=500,3688.0,3.3153535416925157,3.0012253663901673,2.2676829262731455,6.963978097699028,62.60869565217391,5.464365518397764,4.333186647521639,2.3188425256652545,1.145019475185407
Expanding median CLR shift,<=500,3688.0,3.6853030998059455,3.3902321673699225,2.633669755977052,7.5181763050372306,62.85235248476707,6.097653066575816,4.76321356358106,2.698534929194809,1.1818108398720975
Expanding mean CLR shift,<=500,3688.0,4.113492770094409,3.7944902038934125,2.764256871989539,9.085355929366559,66.7925704762064,6.9613825645462555,4.496711978287735,3.7191972468003685,1.2766792907432751
Last-transition mean CLR shift,<=500,3688.0,6.58603754739,6.343437725186769,4.085656405853126,15.569874789632932,85.69493063675733,9.212057550139887,6.729831735036647,8.554875467692444,1.8473854366910192
Locality historical mean CLR shift,<=500,3688.0,7.355155558216407,6.65115949254454,3.6728853379786646,18.912007567179543,99.99548384626358,8.480975949238687,9.471557130762113,6.795835873828124,4.672253279036707
Persistence,">10,000",396.0,2.838568573937011,2.618188150337919,2.4998248788776967,4.650893120992315,25.469949827719333,4.516146369119574,3.6476171259717334,2.013838074711517,1.1766727259452197
Locality historical mean CLR shift,">10,000",396.0,3.240620098925116,3.024528389720092,3.006377739466682,5.776183215883963,26.504040249980306,5.240202084136949,4.106970060676521,2.3156144049997254,1.2996938458872667
Expanding median CLR shift,">10,000",396.0,3.570766153761554,3.5053862450237085,3.223460890930788,5.802865815281309,27.863067728575377,5.73184055730165,4.466883828649131,2.8666947432372916,1.217645485858143
Expanding mean CLR shift,">10,000",396.0,4.074319451584921,4.0964778580681855,3.346153412923231,8.388810771394342,43.003798798058924,6.6188399875788,4.0115574498115745,4.197802727447154,1.469077641502151
Last-transition mean CLR shift,">10,000",396.0,8.168631400108849,8.912907732990009,5.4982291600219675,21.632591936016606,73.1989432862732,10.816950213808349,6.776136947173556,12.484304259429532,2.5971341800239585
