model,subgroup,rows,overall_mae,weighted_mae,median_row_mae,p90_row_mae,maximum_row_error,Right_mae,Center_Left_mae,Haredi_mae,Arab_mae
Expanding mean CLR shift,Arab-majority,589.0,5.5769560520718215,3.629357496105319,3.8475734274457167,12.034591962637665,54.66101868987728,2.913946504423993,7.086562740163915,2.3679903863635485,9.939324577335828
Persistence,Arab-majority,589.0,5.698711352052353,3.7451204259920168,4.138928725756051,12.401084140738961,54.64285714285714,2.9638078869075972,7.362372969099674,2.3216202466487443,10.147044305553395
Expanding median CLR shift,Arab-majority,589.0,5.734122450579542,3.760644325495235,4.218087119306091,12.435919729612863,54.13399887348976,2.9941130982922592,7.376063961367014,2.382244363113525,10.184068379545367
Locality historical mean CLR shift,Arab-majority,589.0,7.60593098503724,4.087831840899379,4.376942688972309,17.359091898933347,98.77177979024088,4.284761353679704,8.15203924358441,4.728687560107699,13.258235782777149
Last-transition mean CLR shift,Arab-majority,589.0,8.003893874902174,5.771547544131715,5.292673929239687,18.917926214859172,79.29946211722627,4.38478108315168,7.78473384196858,5.762083141972118,14.083977432516317
Persistence,Non-Arab-majority,5423.0,2.973426132220543,2.6968554309898236,2.156921916258015,5.933006413221224,62.60869565217391,5.23887087817604,3.8714022980772906,2.178467592546008,0.6049637600828323
Expanding median CLR shift,Non-Arab-majority,5423.0,3.400924221280764,3.5421001119157838,2.5618934991709814,6.599995411251326,62.85235248476707,5.985445827744115,4.37342365423446,2.608350183971154,0.6364772191733279
Expanding mean CLR shift,Non-Arab-majority,5423.0,3.8198319726787724,4.142360392349469,2.6711807708967137,7.852356464751445,66.7925704762064,6.812201571865113,4.060528408472278,3.652172269075216,0.7544256413024862
Locality historical mean CLR shift,Non-Arab-majority,5423.0,5.9969230235112905,3.3790780411978996,3.132575543951739,13.617425205443455,99.99548384626358,7.620560909642769,7.89066916544662,5.368977846746874,3.107484172208902
Last-transition mean CLR shift,Non-Arab-majority,5423.0,6.419449794615092,8.800378318051427,3.949074976908573,15.37936993380488,85.69493063675733,9.245458480524691,6.4090791859221925,8.773725209671529,1.2495363023419557
