check,passed,value,requirement
all_notebook_02_quality_checks_passed,True,14,14
all_nine_transitions_present,True,"['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24', 'K24_to_K25']","['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24', 'K24_to_K25']"
all_eight_development_transitions_present,True,"['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24']","['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24']"
only_k24_to_k25_is_locked,True,['K24_to_K25'],['K24_to_K25']
final_test_absent_from_baseline_predictions,True,"['K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24']",K24_to_K25 must be absent
five_rolling_temporal_test_folds_created,True,5,5
every_fold_has_at_least_three_training_transitions,True,3,>= 3
training_transitions_precede_test_transition,True,True,True
all_predictions_sum_to_100,True,4.263256414560601e-14,<= 1e-8
all_predictions_are_between_0_and_100,True,"min=0.0, max=100.0",0 <= prediction <= 100
no_missing_prediction_values,True,0,0
prediction_row_count_is_complete,True,30060,30060
persistence_predictions_equal_previous_shares,True,0.0,<= 1e-12
