model,feature_set,size_band,rows,overall_mae,weighted_mae,median_row_mae,p90_row_mae,maximum_row_error,Right_mae,Center_Left_mae,Haredi_mae,Arab_mae
Persistence,none,"2,001–10,000",519,3.9207206098591345,3.7163285328215987,2.736006229958006,8.033236947953215,43.99881805353428,4.335149085516692,5.182054349551994,2.2309933819669676,3.934685622400884
Ridge,history_only,"2,001–10,000",519,5.8228009573637145,6.04203498808497,3.9992250526996567,12.95275793883714,62.99537819187257,5.719212919853808,8.713021298239147,2.6555523152177902,6.203417296144111
Ridge,history_plus_dynamic_socio,"2,001–10,000",519,6.105546280811302,6.3027274242827485,4.612870001892311,12.84945544688754,62.00909930726698,6.209724995360969,8.482108401158477,2.8109567039979586,6.919395022727801
Ridge,history_plus_all_socio_sensitivity,"2,001–10,000",519,6.221982295118987,6.358989579227893,4.79813882074756,13.160024615306188,62.50033960012767,7.109095235343818,8.100005044306691,3.972167880978632,5.706661019846806
Ridge,history_plus_nonidentity_levels_and_dynamic,"2,001–10,000",519,6.245881692767124,6.37825483330354,4.783091508530522,13.137237431800859,62.46993728007928,7.072973761105857,8.171484823830562,3.9991066707339322,5.73996151539815
Ridge,history_plus_locality_identity_diagnostic,"2,001–10,000",519,6.460324113669974,6.497121893295286,4.873115624936135,13.949160496898488,58.927368415502414,7.279361541739972,8.40871413773981,3.698504601512401,6.454716173687714
Persistence,none,"501–2,000",1409,2.906657124082962,3.140200008806899,1.9681039219080472,6.125108584984251,50.05951689699222,4.233614796544904,3.7021415159054385,1.8978051115493537,1.7930670723321531
Ridge,history_plus_locality_identity_diagnostic,"501–2,000",1409,3.804650054173937,4.289341699175761,2.422525075261933,8.948750887497459,52.61982563951363,5.231873786609118,5.382141488054327,2.248693849263633,2.35589109276867
Ridge,history_only,"501–2,000",1409,4.005382474367969,4.585692968028019,2.394410256627048,9.807224412650658,60.6011562451085,5.214678266089593,5.985825482233684,2.195031986165358,2.6259941629832384
Ridge,history_plus_all_socio_sensitivity,"501–2,000",1409,4.104600065438299,4.658895118058204,2.466187048756847,10.20639343126788,65.03948089716864,5.304233349151923,6.006761029072133,2.3434251582105152,2.7639807253186226
Ridge,history_plus_nonidentity_levels_and_dynamic,"501–2,000",1409,4.106758150462639,4.661699993652106,2.466354465136081,10.209845016108375,65.03995551010388,5.302759693294437,6.0114820968799405,2.3462599306724847,2.766530881003695
Ridge,history_plus_dynamic_socio,"501–2,000",1409,4.109035547353544,4.749338546088341,2.43591205503105,10.206165372915844,63.91099498660205,5.239815292682756,6.083823639010061,2.2552886272273702,2.8572146304939903
Persistence,none,<=500,3688,3.3153535416925157,3.0012253663901673,2.2676829262731455,6.963978097699028,62.60869565217391,5.464365518397764,4.333186647521639,2.3188425256652545,1.145019475185407
Ridge,history_plus_locality_identity_diagnostic,<=500,3688,4.293341700767627,3.96910298450072,2.857684487675452,10.202894297389461,64.99145881581626,6.919421747135584,6.556964504212306,2.3982421937265546,1.2987383579960605
Ridge,history_only,<=500,3688,4.439676472462803,4.10669903778838,2.8521865178606856,10.60754228526292,72.51098903859831,6.946527273257837,6.863956161836288,2.3771658448589545,1.571056609898131
Ridge,history_plus_dynamic_socio,<=500,3688,4.47078834228028,4.146999000015373,2.871779334476048,10.563864660328365,73.53582824091765,6.918596939995488,6.915117843274577,2.386948412179513,1.6624901736715436
Ridge,history_plus_nonidentity_levels_and_dynamic,<=500,3688,4.518189450669822,4.188546858047688,2.8694604411886973,10.742843576272383,75.31157780611863,6.954631572863162,6.960757052178461,2.4511704463417194,1.7061987312959495
Ridge,history_plus_all_socio_sensitivity,<=500,3688,4.51865763308425,4.189245833696677,2.870985557244495,10.742725846899583,75.30899320634228,6.956528350964143,6.960815082267584,2.4517890592587226,1.7054980398465527
Persistence,none,">10,000",396,2.838568573937011,2.618188150337919,2.4998248788776967,4.650893120992315,25.469949827719333,4.516146369119574,3.6476171259717334,2.013838074711517,1.1766727259452197
Ridge,history_only,">10,000",396,4.328894880383966,4.422317778250573,3.2634834449045833,9.49731630959812,42.82430149191144,6.779517334964203,5.5763446360573665,3.303956813033859,1.655760737480431
Ridge,history_plus_dynamic_socio,">10,000",396,7.157882530358518,9.451276186187085,4.489460841910313,15.095212665709493,90.98225113231399,8.916842515134414,8.591679448477183,8.053096708094616,3.069911449727858
Ridge,history_plus_all_socio_sensitivity,">10,000",396,7.463524220265667,8.561144664943173,5.027540050008815,17.84961507823413,66.15019075338301,9.901763119071889,9.357716016925755,9.097728418592672,1.496889326472348
Ridge,history_plus_nonidentity_levels_and_dynamic,">10,000",396,7.468280470122181,8.544744526413094,5.035418488730013,17.703583591661197,66.15376984293455,9.857185432600854,9.393990199081966,9.12539981245011,1.4965464363557963
Ridge,history_plus_locality_identity_diagnostic,">10,000",396,7.519220048892569,8.573331483785603,5.282002404261414,17.1449912355381,66.11896045278411,10.066686025312281,9.42261075125948,8.629316117350328,1.9582673016481877
