model,feature_set,subgroup,rows,overall_mae,weighted_mae,median_row_mae,p90_row_mae,maximum_row_error,Right_mae,Center_Left_mae,Haredi_mae,Arab_mae
Persistence,none,Arab-majority,589,5.698711352052353,3.7451204259920168,4.138928725756051,12.401084140738961,54.64285714285714,2.9638078869075972,7.362372969099674,2.3216202466487443,10.147044305553395
Ridge,history_plus_locality_identity_diagnostic,Arab-majority,589,7.4781276348316235,5.574653891497576,5.669700212248685,15.896504665064741,64.99145881581626,3.3261490920657097,10.798705534263275,1.8889797416995653,13.898676171297948
Ridge,history_only,Arab-majority,589,8.947396928353074,6.445970332746242,7.23559549499716,18.69824752103464,68.65599111967315,3.507346590002574,13.641180226179577,2.326838796759995,16.31422210047015
Ridge,history_plus_all_socio_sensitivity,Arab-majority,589,9.126258066956707,5.8014854571229675,7.137581518007071,20.263633823296207,70.88110573831503,3.721525011959838,13.683995117278561,2.3840803885557857,16.71543175003264
Ridge,history_plus_nonidentity_levels_and_dynamic,Arab-majority,589,9.149360825092398,5.835674554176495,7.190605783331029,20.264257819279603,70.88012420039253,3.7315286434814827,13.709766879684894,2.4224801961882263,16.733667581014984
Ridge,history_plus_dynamic_socio,Arab-majority,589,9.510381688259619,6.898491791215848,7.712140761335912,19.706259185416386,69.68821550475401,3.8123159104851005,14.315008338211797,2.2947841491059213,17.61941835523566
Persistence,none,Non-Arab-majority,5423,2.973426132220543,2.6968554309898236,2.156921916258015,5.933006413221224,62.60869565217391,5.23887087817604,3.8714022980772906,2.178467592546008,0.6049637600828323
Ridge,history_only,Non-Arab-majority,5423,3.96152867702953,4.405399855854493,2.689147729931691,9.305414798936994,72.51098903859831,6.740440252486369,5.982654214597925,2.4296290250073054,0.6933912160265193
Ridge,history_plus_dynamic_socio,Non-Arab-majority,5423,4.182110212046642,8.688688814699239,2.708788731438227,9.651217021929929,90.98225113231399,6.897869832086155,6.167811455643237,2.817085078708912,0.8456744817482652
Ridge,history_plus_locality_identity_diagnostic,Non-Arab-majority,5423,4.263414769722004,8.075260693621114,2.824473683450119,10.116104654635842,66.11896045278411,7.135502869210453,6.177496106123582,2.994145463188385,0.7465146403655987
Ridge,history_plus_all_socio_sensitivity,Non-Arab-majority,5423,4.288694310155216,8.057893157016492,2.7831527829025617,10.112393431180944,75.30899320634228,7.108257742497213,6.266770671212646,3.0617953777606552,0.7179534491503492
Ridge,history_plus_nonidentity_levels_and_dynamic,Non-Arab-majority,5423,4.289061970644895,8.042814165013045,2.7784238546746582,10.122048163333643,75.31157780611863,7.098786297415543,6.274648411065483,3.062539314164131,0.7202738599344232
