transition_id,bloc,rows,previous_current_correlation,mean_signed_change_pct_points,mean_absolute_change_pct_points,median_absolute_change_pct_points,pct_within_1_point,pct_within_2_points,pct_within_5_points
K21_to_K22,Right,1212,0.9866922822556679,-4.335941808691613,4.6857078928830225,3.724741002966811,13.283828382838283,26.815181518151814,64.93399339933993
K21_to_K22,Center_Left,1212,0.985262655444023,1.6237502676715754,4.000129500685068,2.7334807874005485,21.45214521452145,38.613861386138616,75.57755775577559
K21_to_K22,Haredi,1212,0.945854054724688,1.2378707146740544,1.9517819053410053,0.7463512386850901,56.51815181518152,71.78217821782178,91.17161716171617
K21_to_K22,Arab,1212,0.9839607915281553,1.4743208263459824,1.6049793266149666,0.0256274977684019,85.72607260726073,88.53135313531352,91.33663366336634
K22_to_K23,Right,1214,0.9927911720353985,1.8068105664949294,2.7913002989652127,2.1686474988593982,28.995057660626028,47.28171334431631,85.17298187808896
K22_to_K23,Center_Left,1214,0.9935753799030894,-3.3329593159893647,3.5728373265685205,2.7549107851984367,20.0164744645799,38.79736408566721,79.15980230642504
K22_to_K23,Haredi,1214,0.9876049099017546,0.30593367285860645,0.9845250808074949,0.3805878712270101,73.39373970345963,86.65568369028006,96.86985172981878
K22_to_K23,Arab,1214,0.9940418438860343,1.2202150766358286,1.2885041111858482,0.17011914560530508,81.13673805601319,87.80889621087314,93.32784184514004
K23_to_K24,Right,1212,0.9834133791114024,5.343742945583063,5.576625558847833,4.551082325623412,6.9306930693069315,16.584158415841586,56.76567656765676
K23_to_K24,Center_Left,1212,0.9915363525319617,-3.1430921276356147,3.954453149831678,3.018053259165537,18.894389438943897,33.745874587458744,70.87458745874588
K23_to_K24,Haredi,1212,0.9636330936029386,-1.0544891277999644,1.5324672909839805,0.5382555381355665,63.613861386138616,80.52805280528052,92.82178217821783
K23_to_K24,Arab,1212,0.9932867738205686,-1.1461616901474831,1.2658476811114503,0.21715552202206917,79.78547854785478,88.36633663366337,93.23432343234323
