strategy,bloc,rows,mae,median_absolute_error,r2
Previous-election persistence,Right,449,3.9022399136088546,3.0796741424477094,0.9487265002191365
Previous-election persistence,Center_Left,449,4.69569281117781,3.707306665078825,0.9452071613238003
Previous-election persistence,Haredi,449,1.631912244941193,0.7434296216872784,0.9716055881917368
Previous-election persistence,Arab,449,2.9354961534079247,0.26446440346662903,0.9754717950494595
Ridge — raw correction,Right,449,2.0137328861078805,1.025448631270386,0.977702212311886
Ridge — raw correction,Center_Left,449,2.4080242097033704,1.280948623712625,0.9769969620173268
Ridge — raw correction,Haredi,449,1.4683874062352025,0.5011758267007566,0.970169176689995
Ridge — raw correction,Arab,449,1.5528156836376694,0.1890202382539316,0.9915359032598461
Ridge — globally shrunk correction,Right,449,2.0429334410048843,1.1441902719441472,0.9777228783157876
Ridge — globally shrunk correction,Center_Left,449,2.4131863657552786,1.3474105576911768,0.9780799940202924
Ridge — globally shrunk correction,Haredi,449,1.4015021410904691,0.508661477775604,0.9731223009404989
Ridge — globally shrunk correction,Arab,449,1.4993772235504184,0.18917814129638968,0.9923381391278706
Hybrid — Ridge Non-Arab / persistence Arab,Right,449,2.3573997329946716,1.2596164094975955,0.9691166837272581
Hybrid — Ridge Non-Arab / persistence Arab,Center_Left,449,3.5414994748130706,1.9005805119783261,0.9540719263507306
Hybrid — Ridge Non-Arab / persistence Arab,Haredi,449,1.5467194185778377,0.5786370884124687,0.9689952755458994
Hybrid — Ridge Non-Arab / persistence Arab,Arab,449,2.9332334162024933,0.2530892754643173,0.9754745706366532
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Right,449,2.35818217189261,1.2949830792877037,0.9698119296390192
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Center_Left,449,3.5641979594070516,1.8436052592256118,0.9540452930867912
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Haredi,449,1.4774170705982796,0.5519079575273902,0.971675604016421
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Arab,449,2.919661005694567,0.24204868277404876,0.975531589462202
