strategy,analysis_group,rows,mae,median_row_mae,weighted_mae,macro_r2,maximum_prediction_sum_error
Previous-election persistence,Arab/Non-Jewish,162,4.783639118577225,3.43811664488109,3.8090186670594224,0.6652061699269992,2.842170943040401e-14
Previous-election persistence,Non-Arab,287,2.44898956049645,2.236511518707229,2.5650587970844105,0.9573248810334817,2.842170943040401e-14
Ridge — raw correction,Arab/Non-Jewish,162,2.749356026370629,1.493672521713479,1.9424182191628427,0.7496522671498829,2.842170943040401e-14
Ridge — raw correction,Non-Arab,287,1.3591519323031385,1.0307601091745142,1.4532348574718605,0.9733630472965915,2.842170943040401e-14
Ridge — globally shrunk correction,Arab/Non-Jewish,162,2.730947595043329,1.4502614238470164,1.94949082497274,0.752149969837797,2.842170943040401e-14
Ridge — globally shrunk correction,Non-Arab,287,1.3359221135635844,1.0192935259423288,1.4163970883042867,0.9767105099052945,2.842170943040401e-14
Hybrid — Ridge Non-Arab / persistence Arab,Arab/Non-Jewish,162,4.783639118577225,3.43811664488109,3.8090186670594224,0.6652061699269992,2.842170943040401e-14
Hybrid — Ridge Non-Arab / persistence Arab,Non-Arab,287,1.3591519323031385,1.0307601091745142,1.4532348574718605,0.9733630472965915,2.842170943040401e-14
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Arab/Non-Jewish,162,4.783639118577225,3.43811664488109,3.8090186670594224,0.6652061699269992,2.842170943040401e-14
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Non-Arab,287,1.3359221135635844,1.0192935259423288,1.4163970883042867,0.9767105099052945,2.842170943040401e-14
